"deviceid"|"latitude"|"longitude"|"speed"|"satellite"|"lock"|"trktime"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 00:35:03"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 00:35:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 00:36:03"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 00:36:33"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 00:37:03"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 00:37:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 00:38:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 00:38:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 00:39:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 00:39:33"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:40:03"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:40:33"
"704"|"10.76774"|"106.68959"|"0"|"6"|"0"|"2012-11-09 00:41:03"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:41:33"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:42:03"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:42:33"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:43:03"
"704"|"10.76774"|"106.68959"|"0"|"6"|"0"|"2012-11-09 00:43:33"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:44:03"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:44:35"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:45:05"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:45:34"
"704"|"10.76775"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:46:04"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:46:34"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:47:04"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:47:34"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:48:04"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:48:34"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:49:04"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:49:34"
"704"|"10.76775"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:50:04"
"704"|"10.76775"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:50:34"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:51:04"
"704"|"10.76774"|"106.68959"|"0"|"7"|"0"|"2012-11-09 00:51:33"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:52:03"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:52:33"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:53:03"
"704"|"10.76775"|"106.6896"|"0"|"7"|"0"|"2012-11-09 00:53:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 00:54:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 00:54:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 00:55:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 00:55:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 00:56:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 00:56:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 00:57:03"
"704"|"10.76775"|"106.68962"|"0"|"7"|"0"|"2012-11-09 00:57:33"
"704"|"10.76774"|"106.68962"|"0"|"7"|"0"|"2012-11-09 00:58:03"
"704"|"10.76774"|"106.68962"|"0"|"7"|"0"|"2012-11-09 00:58:33"
"704"|"10.76774"|"106.68962"|"0"|"7"|"0"|"2012-11-09 00:59:03"
"704"|"10.76774"|"106.68962"|"0"|"7"|"0"|"2012-11-09 00:59:33"
"704"|"10.76774"|"106.68962"|"0"|"7"|"0"|"2012-11-09 01:00:03"
"704"|"10.76774"|"106.68962"|"0"|"7"|"0"|"2012-11-09 01:00:33"
"704"|"10.76774"|"106.68962"|"0"|"7"|"0"|"2012-11-09 01:01:03"
"704"|"10.76775"|"106.68962"|"0"|"7"|"0"|"2012-11-09 01:01:33"
"704"|"10.76775"|"106.68962"|"0"|"7"|"0"|"2012-11-09 01:02:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:02:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:03:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:03:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:04:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:04:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:05:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:05:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:06:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:06:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:07:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:07:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:08:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:08:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:09:03"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:09:33"
"704"|"10.76775"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:10:03"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:10:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:11:03"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:11:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:12:03"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:12:33"
"704"|"10.76774"|"106.68961"|"0"|"7"|"0"|"2012-11-09 01:13:03"
